order_id,shipment_date,expected_delivery_date,delivery_date,on_time_delivery
O805862,2024-01-10 05:13:54,2024-01-12 05:13:54,2024-01-12 05:13:54,1.0
O809073,2024-01-10 05:23:59,2024-01-13 05:23:59,2024-01-13 05:23:59,1.0
O803801,2024-01-11 05:41:26,2024-01-14 05:41:26,2024-01-14 05:41:26,1.0
O801049,2024-01-10 06:58:37,2024-01-13 06:58:37,2024-01-13 06:58:37,1.0
O801413,2024-01-11 07:25:50,2024-01-15 07:25:50,,
O800989,2024-01-11 08:09:11,2024-01-15 08:09:11,2024-01-15 08:09:11,1.0
O810809,2024-01-10 08:23:18,2024-01-13 08:23:18,,
O807321,2024-01-10 10:51:18,2024-01-13 10:51:18,2024-01-13 10:51:18,1.0
O803930,2024-01-10 11:31:12,2024-01-13 11:31:12,2024-01-13 11:31:12,1.0
O808827,2024-01-10 13:45:59,2024-01-14 13:45:59,2024-01-14 13:45:59,1.0
O804921,2024-01-10 15:00:53,2024-01-12 15:00:53,2024-01-12 15:00:53,1.0
O804441,2024-01-10 16:10:15,2024-01-15 16:10:15,2024-01-15 16:10:15,1.0
O807289,2024-01-10 16:52:41,2024-01-14 16:52:41,,
O810396,2024-01-10 17:24:41,2024-01-14 17:24:41,2024-01-14 17:24:41,1.0
O810259,2024-01-11 19:11:17,2024-01-15 19:11:17,,
O804596,2024-01-10 19:13:31,2024-01-12 19:13:31,,
O811092,2024-01-11 21:17:04,2024-01-15 21:17:04,,
O802793,2024-01-11 23:15:16,2024-01-16 23:15:16,2024-01-16 23:15:16,1.0
O811233,2024-01-12 00:05:48,2024-01-15 00:05:48,2024-01-19 00:05:48,0.0
O803730,2024-01-11 00:17:00,2024-01-16 00:17:00,,
O801431,2024-01-12 00:56:54,2024-01-13 00:56:54,2024-01-13 00:56:54,1.0
O808112,2024-01-12 01:46:16,2024-01-15 01:46:16,2024-01-15 01:46:16,1.0
O808580,2024-01-12 06:07:25,2024-01-14 06:07:25,2024-01-14 06:07:25,1.0
O802100,2024-01-12 08:32:17,2024-01-16 08:32:17,,
O801548,2024-01-12 08:39:36,2024-01-16 08:39:36,2024-01-16 08:39:36,1.0
O801317,2024-01-11 09:17:45,2024-01-14 09:17:45,2024-01-14 09:17:45,1.0
O810176,2024-01-11 10:07:21,2024-01-15 10:07:21,,
O802040,2024-01-12 14:13:02,2024-01-15 14:13:02,2024-01-15 14:13:02,1.0
O802707,2024-01-12 14:54:18,2024-01-15 14:54:18,2024-01-15 14:54:18,1.0
O808763,2024-01-12 15:59:33,2024-01-15 15:59:33,,
O802394,2024-01-12 17:39:22,2024-01-15 17:39:22,2024-01-15 17:39:22,1.0
O804571,2024-01-11 19:28:32,2024-01-14 19:28:32,,
O810204,2024-01-11 21:41:00,2024-01-15 21:41:00,2024-01-15 21:41:00,1.0
O804544,2024-01-12 22:56:24,2024-01-14 22:56:24,2024-01-14 22:56:24,1.0
O800449,2024-01-13 00:21:52,2024-01-16 00:21:52,2024-01-16 00:21:52,1.0
O801299,2024-01-13 01:53:37,2024-01-17 01:53:37,2024-01-17 01:53:37,1.0
O806777,2024-01-12 01:58:47,2024-01-17 01:58:47,,
O808398,2024-01-12 03:36:00,2024-01-16 03:36:00,2024-01-16 03:36:00,1.0
O800368,2024-01-12 07:11:13,2024-01-17 07:11:13,,
O807630,2024-01-13 08:39:16,2024-01-15 08:39:16,2024-01-15 08:39:16,1.0
O808115,2024-01-12 10:27:13,2024-01-16 10:27:13,2024-01-16 10:27:13,1.0
O809204,2024-01-12 11:17:52,2024-01-18 11:17:52,2024-01-18 11:17:52,1.0
O810914,2024-01-13 12:47:22,2024-01-14 12:47:22,,
O802434,2024-01-13 13:12:15,2024-01-18 13:12:15,,
O801373,2024-01-13 13:30:44,2024-01-14 13:30:44,,
O802037,2024-01-12 13:43:17,2024-01-14 13:43:17,2024-01-16 13:43:17,0.0
O810403,2024-01-13 13:56:49,2024-01-15 13:56:49,2024-01-15 13:56:49,1.0
O803447,2024-01-12 17:56:45,2024-01-16 17:56:45,2024-01-16 17:56:45,1.0
O810454,2024-01-13 18:31:09,2024-01-15 18:31:09,,
O808475,2024-01-13 19:18:45,2024-01-16 19:18:45,2024-01-16 19:18:45,1.0
O811586,2024-01-13 22:16:33,2024-01-16 22:16:33,2024-01-19 22:16:33,0.0
O804717,2024-01-13 22:27:12,2024-01-18 22:27:12,2024-01-18 22:27:12,1.0
O805091,2024-01-12 23:30:16,2024-01-16 23:30:16,,
O810766,2024-01-13 04:37:58,2024-01-18 04:37:58,2024-01-18 04:37:58,1.0
O802520,2024-01-13 04:45:27,2024-01-15 04:45:27,2024-01-15 04:45:27,1.0
O800741,2024-01-14 04:49:02,2024-01-17 04:49:02,2024-01-17 04:49:02,1.0
O806667,2024-01-13 05:19:22,2024-01-16 05:19:22,,
O801881,2024-01-13 06:44:03,2024-01-16 06:44:03,,
O804929,2024-01-13 07:07:47,2024-01-19 07:07:47,,
O807719,2024-01-13 07:31:32,2024-01-16 07:31:32,2024-01-16 07:31:32,1.0
O800629,2024-01-14 10:14:26,2024-01-18 10:14:26,2024-01-18 10:14:26,1.0
O808948,2024-01-13 12:29:44,2024-01-17 12:29:44,2024-01-17 12:29:44,1.0
O802187,2024-01-13 13:10:58,2024-01-16 13:10:58,2024-01-16 13:10:58,1.0
O802445,2024-01-14 14:25:07,2024-01-15 14:25:07,,
O808377,2024-01-13 15:00:57,2024-01-17 15:00:57,2024-01-17 15:00:57,1.0
O806952,2024-01-14 15:34:46,2024-01-17 15:34:46,2024-01-17 15:34:46,1.0
O810850,2024-01-14 17:11:39,2024-01-17 17:11:39,2024-01-17 17:11:39,1.0
O809719,2024-01-14 20:51:43,2024-01-18 20:51:43,,
O809006,2024-01-13 23:28:11,2024-01-18 23:28:11,2024-01-18 23:28:11,1.0
O801607,2024-01-14 00:16:05,2024-01-16 00:16:05,2024-01-16 00:16:05,1.0
O809180,2024-01-14 00:33:00,2024-01-16 00:33:00,2024-01-16 00:33:00,1.0
O810125,2024-01-14 01:24:58,2024-01-18 01:24:58,2024-01-18 01:24:58,1.0
O807405,2024-01-15 02:17:00,2024-01-16 02:17:00,2024-01-16 02:17:00,1.0
O809473,2024-01-15 02:37:08,2024-01-20 02:37:08,2024-01-20 02:37:08,1.0
O809826,2024-01-14 02:46:30,2024-01-18 02:46:30,,
O805568,2024-01-15 03:19:49,2024-01-19 03:19:49,2024-01-19 03:19:49,1.0
O801039,2024-01-15 03:34:05,2024-01-16 03:34:05,2024-01-16 03:34:05,1.0
O810494,2024-01-14 04:01:00,2024-01-18 04:01:00,2024-01-18 04:01:00,1.0
O811031,2024-01-15 04:01:07,2024-01-18 04:01:07,2024-01-18 04:01:07,1.0
O801462,2024-01-14 06:08:38,2024-01-17 06:08:38,2024-01-17 06:08:38,1.0
O807475,2024-01-15 15:16:29,2024-01-16 15:16:29,,
O810220,2024-01-14 16:56:09,2024-01-17 16:56:09,,
O802494,2024-01-15 17:38:57,2024-01-18 17:38:57,2024-01-21 17:38:57,0.0
O809274,2024-01-15 18:24:57,2024-01-16 18:24:57,2024-01-16 18:24:57,1.0
O801688,2024-01-15 21:27:19,2024-01-18 21:27:19,,
O805508,2024-01-15 22:48:10,2024-01-17 22:48:10,2024-01-17 22:48:10,1.0
O807208,2024-01-15 01:42:26,2024-01-18 01:42:26,2024-01-18 01:42:26,1.0
O800117,2024-01-16 02:31:50,2024-01-18 02:31:50,2024-01-18 02:31:50,1.0
O801340,2024-01-15 04:03:53,2024-01-18 04:03:53,,
O801903,2024-01-16 04:09:01,2024-01-19 04:09:01,2024-01-19 04:09:01,1.0
O806245,2024-01-15 05:46:24,2024-01-19 05:46:24,,
O801220,2024-01-15 07:09:29,2024-01-20 07:09:29,2024-01-20 07:09:29,1.0
O811025,2024-01-16 10:34:12,2024-01-19 10:34:12,2024-01-19 10:34:12,1.0
O807267,2024-01-16 10:55:25,2024-01-19 10:55:25,,
O810937,2024-01-15 12:42:38,2024-01-21 12:42:38,2024-01-21 12:42:38,1.0
O801983,2024-01-15 12:42:52,2024-01-18 12:42:52,2024-01-18 12:42:52,1.0
O805034,2024-01-16 13:08:39,2024-01-20 13:08:39,,
O811550,2024-01-15 13:17:28,2024-01-19 13:17:28,2024-01-19 13:17:28,1.0
O811430,2024-01-16 19:29:17,2024-01-18 19:29:17,2024-01-18 19:29:17,1.0
O805512,2024-01-15 19:36:42,2024-01-19 19:36:42,2024-01-19 19:36:42,1.0
O809785,2024-01-15 22:42:44,2024-01-19 22:42:44,2024-01-19 22:42:44,1.0
O803360,2024-01-16 00:16:49,2024-01-19 00:16:49,2024-01-19 00:16:49,1.0
O809908,2024-01-17 01:33:29,2024-01-21 01:33:29,2024-01-21 01:33:29,1.0
O807766,2024-01-17 04:15:25,2024-01-18 04:15:25,2024-01-18 04:15:25,1.0
O811373,2024-01-16 04:21:04,2024-01-19 04:21:04,,
O806955,2024-01-17 05:28:27,2024-01-20 05:28:27,2024-01-20 05:28:27,1.0
O811386,2024-01-17 06:21:06,2024-01-19 06:21:06,2024-01-19 06:21:06,1.0
O811683,2024-01-16 07:16:08,2024-01-20 07:16:08,2024-01-24 07:16:08,0.0
O811434,2024-01-16 07:33:33,2024-01-19 07:33:33,2024-01-19 07:33:33,1.0
O800897,2024-01-17 08:05:46,2024-01-19 08:05:46,2024-01-19 08:05:46,1.0
O810671,2024-01-16 09:18:12,2024-01-19 09:18:12,2024-01-19 09:18:12,1.0
O800725,2024-01-16 09:31:35,2024-01-20 09:31:35,2024-01-20 09:31:35,1.0
O810394,2024-01-17 11:38:36,2024-01-19 11:38:36,2024-01-19 11:38:36,1.0
O801289,2024-01-17 12:45:15,2024-01-19 12:45:15,2024-01-19 12:45:15,1.0
O805076,2024-01-16 14:02:48,2024-01-20 14:02:48,2024-01-20 14:02:48,1.0
O809213,2024-01-17 17:44:58,2024-01-19 17:44:58,2024-01-19 17:44:58,1.0
O807280,2024-01-16 17:59:14,2024-01-21 17:59:14,2024-01-21 17:59:14,1.0
O811189,2024-01-16 18:47:24,2024-01-21 18:47:24,2024-01-21 18:47:24,1.0
O804861,2024-01-16 18:53:10,2024-01-18 18:53:10,2024-01-18 18:53:10,1.0
O809562,2024-01-17 21:35:16,2024-01-21 21:35:16,2024-01-21 21:35:16,1.0
O802715,2024-01-17 22:35:26,2024-01-19 22:35:26,,
O807696,2024-01-18 01:03:47,2024-01-19 01:03:47,2024-01-19 01:03:47,1.0
O805887,2024-01-17 01:34:45,2024-01-23 01:34:45,,
O800927,2024-01-17 01:49:23,2024-01-21 01:49:23,,
O801309,2024-01-17 03:24:42,2024-01-22 03:24:42,2024-01-22 03:24:42,1.0
O803537,2024-01-18 04:42:27,2024-01-20 04:42:27,2024-01-20 04:42:27,1.0
O811421,2024-01-17 05:55:17,2024-01-23 05:55:17,2024-01-23 05:55:17,1.0
O803897,2024-01-17 06:23:12,2024-01-22 06:23:12,,
O809824,2024-01-17 08:11:37,2024-01-21 08:11:37,,
O805492,2024-01-17 08:22:27,2024-01-22 08:22:27,2024-01-22 08:22:27,1.0
O805118,2024-01-18 08:54:26,2024-01-20 08:54:26,,
O801231,2024-01-18 09:53:58,2024-01-21 09:53:58,2024-01-21 09:53:58,1.0
O801488,2024-01-18 11:20:49,2024-01-21 11:20:49,2024-01-21 11:20:49,1.0
O811530,2024-01-17 11:34:39,2024-01-22 11:34:39,2024-01-25 11:34:39,0.0
O807286,2024-01-18 13:14:58,2024-01-21 13:14:58,2024-01-21 13:14:58,1.0
O804650,2024-01-17 17:26:55,2024-01-23 17:26:55,2024-01-23 17:26:55,1.0
O805659,2024-01-17 19:26:37,2024-01-19 19:26:37,,
O809656,2024-01-18 20:54:28,2024-01-22 20:54:28,2024-01-22 20:54:28,1.0
O803922,2024-01-19 01:56:25,2024-01-21 01:56:25,2024-01-21 01:56:25,1.0
O810886,2024-01-18 03:23:16,2024-01-20 03:23:16,2024-01-20 03:23:16,1.0
O809840,2024-01-19 04:42:17,2024-01-21 04:42:17,,
O800781,2024-01-18 05:10:44,2024-01-23 05:10:44,,
O804837,2024-01-19 06:51:28,2024-01-21 06:51:28,2024-01-23 06:51:28,0.0
O802086,2024-01-19 10:22:44,2024-01-22 10:22:44,2024-01-26 10:22:44,0.0
O804712,2024-01-18 11:52:06,2024-01-22 11:52:06,2024-01-22 11:52:06,1.0
O811388,2024-01-18 12:10:18,2024-01-21 12:10:18,2024-01-21 12:10:18,1.0
O807159,2024-01-19 14:02:26,2024-01-22 14:02:26,2024-01-22 14:02:26,1.0
O804312,2024-01-18 18:33:41,2024-01-22 18:33:41,2024-01-22 18:33:41,1.0
O805868,2024-01-18 19:04:18,2024-01-21 19:04:18,2024-01-21 19:04:18,1.0
O808677,2024-01-18 21:32:56,2024-01-21 21:32:56,2024-01-21 21:32:56,1.0
O802930,2024-01-19 21:37:55,2024-01-22 21:37:55,2024-01-22 21:37:55,1.0
O807770,2024-01-20 00:34:14,2024-01-21 00:34:14,,
O811317,2024-01-19 01:54:17,2024-01-23 01:54:17,2024-01-23 01:54:17,1.0
O807183,2024-01-19 04:53:00,2024-01-23 04:53:00,2024-01-23 04:53:00,1.0
O804112,2024-01-20 05:17:07,2024-01-24 05:17:07,2024-01-24 05:17:07,1.0
O807871,2024-01-19 05:21:38,2024-01-22 05:21:38,2024-01-22 05:21:38,1.0
O809294,2024-01-20 05:22:50,2024-01-22 05:22:50,,
O804040,2024-01-19 06:21:06,2024-01-24 06:21:06,2024-01-24 06:21:06,1.0
O804365,2024-01-20 09:33:03,2024-01-23 09:33:03,2024-01-23 09:33:03,1.0
